,run,epoch,loss,epoch_duration,run duration,learning_rate,num_epoch
0,1,1,0.3061348379050041,281.1471629142761,281.1471629142761,0.001,30
1,1,2,0.28034536768904045,278.6069278717041,559.7540907859802,0.001,30
2,1,3,0.2750677739321772,265.9846308231354,825.7396910190582,0.001,30
3,1,4,0.2670707846141701,266.9298701286316,1092.6695611476898,0.001,30
4,1,5,0.2613094105377852,265.44598054885864,1358.1159737110138,0.001,30
5,1,6,0.2582803068106018,266.8824465274811,1624.999413728714,0.001,30
6,1,7,0.25597058296100134,265.87671637535095,1890.8771278858185,0.001,30
7,1,8,0.2518482036142063,266.28632140159607,2157.1634492874146,0.001,30
8,1,9,0.249259693592432,265.20664620399475,2422.3720972537994,0.001,30
9,1,10,0.24663219978249382,272.8442380428314,2695.2173330783844,0.001,30
10,1,11,0.24275918901410132,275.06156730651855,2970.278900384903,0.001,30
11,1,12,0.2393109362151119,271.16211915016174,3241.4420828819275,0.001,30
12,1,13,0.23569760425385858,268.39298915863037,3509.8370440006256,0.001,30
13,1,14,0.2325099333695742,262.40583896636963,3772.2448954582214,0.001,30
14,1,15,0.23009986873154367,265.1822118759155,4037.427107334137,0.001,30
15,1,16,0.22751449485723343,268.4527847766876,4305.881892442703,0.001,30
16,1,17,0.2250514552773287,277.8220057487488,4583.705898523331,0.001,30
17,1,18,0.2231558627811157,276.70333552360535,4860.411270141602,0.001,30
18,1,19,0.22070902267042253,276.1729245185852,5136.586173057556,0.001,30
19,1,20,0.21912057089826298,276.31480264663696,5412.902976036072,0.001,30
20,1,21,0.21710391056221273,276.77285647392273,5689.677830219269,0.001,30
21,1,22,0.21537140566330876,276.6089491844177,5966.2867794036865,0.001,30
22,1,23,0.21343090535799367,276.59900975227356,6242.88578915596,0.001,30
23,1,24,0.21202229434025607,276.19831347465515,6519.084102630615,0.001,30
24,1,25,0.2100952988830469,276.4201502799988,6795.504252910614,0.001,30
25,1,26,0.2083153349110886,276.0480794906616,7071.552332401276,0.001,30
26,1,27,0.20653522024042018,275.8989453315735,7347.452275753021,0.001,30
27,1,28,0.2050675627819839,275.688054561615,7623.140330314636,0.001,30
28,1,29,0.20401331767742892,276.38977551460266,7899.530105829239,0.001,30
29,1,30,0.20213287068708313,275.7997295856476,8175.3298354148865,0.001,30
