,run,epoch,loss,epoch_duration,run duration,learning_rate,num_epoch
0,1,1,0.29739183462077073,286.8672835826874,286.8672835826874,0.001,30
1,1,2,0.2643646972571751,286.6125786304474,573.4818625450134,0.001,30
2,1,3,0.2435206368358599,287.0121681690216,860.494030714035,0.001,30
3,1,4,0.22867301156345224,287.21859645843506,1147.71262717247,0.001,30
4,1,5,0.21772939796810822,287.225772857666,1434.9393992424011,0.001,30
5,1,6,0.20963127763631442,286.8459441661835,1721.7873454093933,0.001,30
6,1,7,0.20463315192388282,286.7091112136841,2008.4964566230774,0.001,30
7,1,8,0.20143998970484567,306.47051072120667,2314.968942642212,0.001,30
8,1,9,0.19886461215552,330.51051926612854,2645.480458498001,0.001,30
9,1,10,0.1970676166496964,330.42030334472656,2975.901763677597,0.001,30
10,1,11,0.195301598361102,329.2387897968292,3305.1415519714355,0.001,30
11,1,12,0.19298683632061714,325.15823769569397,3630.3007872104645,0.001,30
12,1,13,0.19136507609223444,331.88308811187744,3962.183875322342,0.001,30
13,1,14,0.1906429562063533,325.74689745903015,4287.931770563126,0.001,30
14,1,15,0.18872998012710243,330.70592284202576,4618.639776945114,0.001,30
15,1,16,0.18799962010604168,314.68048667907715,4933.322349309921,0.001,30
16,1,17,0.18653820695296403,287.07682514190674,5220.399174451828,0.001,30
17,1,18,0.18546256631804955,286.89233899116516,5507.291513442993,0.001,30
18,1,19,0.18480135951679022,286.97135615348816,5794.262869596481,0.001,30
19,1,20,0.18411597716326397,288.7803099155426,6083.04513835907,0.001,30
20,1,21,0.18285946707270803,322.252521276474,6405.297659635544,0.001,30
21,1,22,0.18203476276840008,325.64734840393066,6730.946000576019,0.001,30
22,1,23,0.18172120242490478,312.1528091430664,7043.098809719086,0.001,30
23,1,24,0.1807797126460909,284.2618110179901,7327.361613512039,0.001,30
24,1,25,0.17989785749361747,295.7072100639343,7623.0688235759735,0.001,30
25,1,26,0.17956875381059945,285.4870352745056,7908.555858850479,0.001,30
26,1,27,0.17916565110153032,285.737596988678,8194.294453382492,0.001,30
27,1,28,0.17820392494525997,282.233686208725,8476.530140161514,0.001,30
28,1,29,0.17764623654222797,314.62609672546387,8791.156236886978,0.001,30
29,1,30,0.17647077885663343,282.8631465435028,9074.020370721817,0.001,30
