,run,epoch,loss,epoch_duration,run duration,learning_rate,num_epoch
0,1,1,0.34640648316163275,272.77781534194946,272.77781534194946,0.001,30
1,1,2,0.3073469970212688,277.4651861190796,550.2436327934265,0.001,30
2,1,3,0.2843067672487999,272.0666298866272,822.3112599849701,0.001,30
3,1,4,0.262473027402949,268.9387471675873,1091.2500071525574,0.001,30
4,1,5,0.24960405443469802,268.7695736885071,1360.0195808410645,0.001,30
5,1,6,0.2429717063722718,269.2467658519745,1629.266346693039,0.001,30
6,1,7,0.2385006025987899,270.2531406879425,1899.520485162735,0.001,30
7,1,8,0.2350124793130875,273.7183835506439,2173.2392151355743,0.001,30
8,1,9,0.2323460200661054,266.77041387557983,2440.0101447105408,0.001,30
9,1,10,0.22989780813204272,265.4660942554474,2705.476238965988,0.001,30
10,1,11,0.2276044337777421,265.25601387023926,2970.7322528362274,0.001,30
11,1,12,0.22547060043536246,273.00779700279236,3243.740135192871,0.001,30
12,1,13,0.22429804321718477,266.6323039531708,3510.372439146042,0.001,30
13,1,14,0.2228125218885936,262.47224974632263,3772.845686197281,0.001,30
14,1,15,0.22136201032452166,262.29597783088684,4035.1416640281677,0.001,30
15,1,16,0.22051734681285562,261.6980571746826,4296.840756654739,0.001,30
16,1,17,0.21907845191428407,289.12007880210876,4585.961224317551,0.001,30
17,1,18,0.21802221246189363,275.1462140083313,4861.107438325882,0.001,30
18,1,19,0.2170853593556713,273.20697808265686,5134.314416408539,0.001,30
19,1,20,0.2160824701736962,284.950763463974,5419.266177654266,0.001,30
20,1,21,0.21501811046618968,296.19127106666565,5715.458524465561,0.001,30
21,1,22,0.21363393338360187,284.7508153915405,6000.210052013397,0.001,30
22,1,23,0.21266616587453183,288.15883111953735,6288.369566679001,0.001,30
23,1,24,0.21279000044090762,273.6141941547394,6561.98376083374,0.001,30
24,1,25,0.21113169407435056,276.2378976345062,6838.222655534744,0.001,30
25,1,26,0.210674267951473,275.8621668815613,7114.0857882499695,0.001,30
26,1,27,0.21032564805835366,284.6231572628021,7398.7091953754425,0.001,30
27,1,28,0.21016000593007203,280.84203481674194,7679.552365779877,0.001,30
28,1,29,0.2089433417163996,266.17007207870483,7945.723325014114,0.001,30
29,1,30,0.20836510513502632,262.6643431186676,8208.388082027435,0.001,30
